Filename,Year,Month,Date,Description,Type of Notice,Number of Repos Affected
2021-02-23-amazon.md,2021,02,23,amazon.md,takedown,1
2021-02-23-codility.md,2021,02,23,codility.md,takedown,1
2021-02-23-devskiller.md,2021,02,23,devskiller.md,takedown,1
2021-02-23-digiturk.md,2021,02,23,digiturk.md,takedown,5
2021-02-23-gerdau.md,2021,02,23,gerdau.md,takedown,1
2021-02-23-hcsc.md,2021,02,23,hcsc.md,takedown,1
2021-02-23-nagra-2.md,2021,02,23,nagra-2.md,takedown,1
2021-02-23-nagra-3.md,2021,02,23,nagra-3.md,takedown,1
2021-02-23-nagra-4.md,2021,02,23,nagra-4.md,takedown,1
2021-02-23-nagra-5.md,2021,02,23,nagra-5.md,takedown,1
2021-02-23-nagra.md,2021,02,23,nagra.md,takedown,1
2021-02-23-otpsimple-pay.md,2021,02,23,otpsimple-pay.md,takedown,1
2021-02-23-siam-books.md,2021,02,23,siam-books.md,takedown,1
2021-02-23-triplebyte.md,2021,02,23,triplebyte.md,takedown,9
2021-02-24-cisco.md,2021,02,24,cisco.md,takedown,1
2021-02-24-codility.md,2021,02,24,codility.md,takedown,1
2021-02-24-holy-bard.md,2021,02,24,holy-bard.md,takedown,36
2021-02-24-instagram.md,2021,02,24,instagram.md,takedown,2
2021-02-24-supercell.md,2021,02,24,supercell.md,takedown,1
2021-02-25-cellebrite.md,2021,02,25,cellebrite.md,takedown,1
2021-02-25-chineseocr.md,2021,02,25,chineseocr.md,takedown,6
2021-02-25-curvapp.md,2021,02,25,curvapp.md,takedown,1
2021-02-25-geeksforgeeks.md,2021,02,25,geeksforgeeks.md,takedown,1
2021-02-25-pacific-life-insurance-2.md,2021,02,25,pacific-life-insurance-2.md,takedown,1
2021-02-25-pacific-life-insurance-3.md,2021,02,25,pacific-life-insurance-3.md,takedown,1
2021-02-25-pacific-life-insurance.md,2021,02,25,pacific-life-insurance.md,takedown,1
2021-02-25-pikashow.md,2021,02,25,pikashow.md,takedown,1
2021-02-25-recuiel.md,2021,02,25,recuiel.md,takedown,2
2021-02-25-skyitalia.md,2021,02,25,skyitalia.md,takedown,1
2021-02-26-NTT.md,2021,02,26,NTT.md,takedown,1
2021-02-26-anticosmetics.md,2021,02,26,anticosmetics.md,takedown,1
2021-02-26-itemrestrictions.md,2021,02,26,itemrestrictions.md,takedown,1
2021-02-26-mountainproject.md,2021,02,26,mountainproject.md,takedown,3
2021-02-26-nagra-2.md,2021,02,26,nagra-2.md,takedown,1
2021-02-26-nagra-3.md,2021,02,26,nagra-3.md,takedown,1
2021-02-26-nagra-4.md,2021,02,26,nagra-4.md,takedown,1
2021-02-26-nagra.md,2021,02,26,nagra.md,takedown,1
2021-02-26-scfventures.md,2021,02,26,scfventures.md,takedown,1
2021-02-26-shortny.md,2021,02,26,shortny.md,takedown,1
2021-02-26-sourcecode.md,2021,02,26,sourcecode.md,takedown,4
2021-02-26-testdome.md,2021,02,26,testdome.md,takedown,3
2021-02-26-therms.md,2021,02,26,therms.md,takedown,1
2021-02-26-viacom18.md,2021,02,26,viacom18.md,takedown,1
2021-02-26-wiley.md,2021,02,26,wiley.md,takedown,4
2021-03-01-jetbrains.md,2021,03,01,jetbrains.md,takedown,175
2021-03-01-matteroom.md,2021,03,01,matteroom.md,takedown,1
2021-03-01-nagra.md,2021,03,01,nagra.md,takedown,1
2021-03-01-nctu-compiler-course.md,2021,03,01,nctu-compiler-course.md,takedown,1
2021-03-01-oxford-university-press.md,2021,03,01,oxford-university-press.md,takedown,1
2021-03-01-tmssoftware.md,2021,03,01,tmssoftware.md,takedown,1
2021-03-01-wiley.md,2021,03,01,wiley.md,takedown,1
2021-03-01-wipro.md,2021,03,01,wipro.md,takedown,1
2021-03-02-avifio.md,2021,03,02,avifio.md,takedown,1
2021-03-02-bcbs.md,2021,03,02,bcbs.md,takedown,9
2021-03-02-cj-marketing.md,2021,03,02,cj-marketing.md,takedown,2
2021-03-02-friday-userbot.md,2021,03,02,friday-userbot.md,takedown,2
2021-03-02-galvanize.md,2021,03,02,galvanize.md,takedown,1
